Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address
Nhà mặt tiền,Quận Bình Tân,64,4,6,Tây,Tây,5,4,5,Have certificate,Basic,6.7,"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60,4,5,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,6.5,"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,75.6,5,10,Nam,Nam,4,5,6,Have certificate,Full,7.5,"Hẻm 36/, Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),117.1,6,8,Đông - Nam,Đông - Nam,1,7,7,Have certificate,Basic,8.45,"Đường Trương Văn Thành, Phường Hiệp Phú, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 12,60,4,6,Tây - Bắc,Tây,4,4,4,Have certificate,Basic,4.3,"Đường Quốc lộ 1A, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),78,5.5,3.5,Đông - Bắc,Đông - Bắc,2,3,2,Have certificate,Basic,4,"Đường Kha Vạn Cân, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60,4,8,Đông,Đông,5,5,6,Have certificate,Full,6.3,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,68.8,4.3,10,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.8,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40.1,4,8,Tây,Tây,1,2,1,Have certificate,Basic,3.6,"Khu phố 2, Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận 3,30.71,4.03,20,Đông,Đông - Nam,2,2,2,Have certificate,Full,4.2,"62/12, Đường Nguyễn Thông, Phường 9, Quận 3, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,50,5,10,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,5.1,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,96,5,6,Bắc,Bắc,2,4,3,Have certificate,Basic,9.35,"Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh"
Biệt thự,Quận Bình Tân,142,5,10,Nam,Nam,2,3,2,Have certificate,Basic,7.9,"Đường Cầu Kinh, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,10,Tây,Tây,3,4,4,Have certificate,Full,9.8,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh."
Chung cư,Quận Gò Vấp,37.5,8.3,5,Tây,Tây,4,3,3,Have certificate,Full,5.99,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,98.7,6,3,Đông - Nam,Đông - Nam,2,7,4,Have certificate,Basic,5.2,"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60,4.2,5,Tây,Tây,3,3,3,Have certificate,Basic,5.3,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,59,4.2,4,Tây - Bắc,Tây - Bắc,4,4,4,Have certificate,Basic,6.7,"Đường Huỳnh Văn Nghệ, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,72,4,8,Tây,Tây,5,5,6,Have certificate,Full,8.3,"Hẻm 427, Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận Phú Nhuận,33.1,3.1,4,Đông,Đông,2,2,1,Have certificate,Basic,5.2,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,4,5,Nam,Nam,4,5,6,Have certificate,Full,4.8,"Đường Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,26,3.5,3.5,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,4.05,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80,5.6,6,Đông - Bắc,Tây - Nam,3,3,4,Have certificate,Full,7.39,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,80,4,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.45,"Đường Lê Văn Thọ, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,66,6,6,Đông - Bắc,Đông - Nam,4,4,4,Have certificate,Full,10,"Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,88,8,8,Tây - Nam,Tây - Nam,3,4,5,Have certificate,Full,7.6,"Đường Tân Thới Nhất 12, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,65,4,6,Đông,Đông,1,4,3,Have certificate,Basic,6.2,"Hẻm 115 Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Bình Tân,25,3,5,Bắc,Bắc,2,2,2,Have certificate,Full,2.4,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,63,4.2,4,Nam,Nam,3,4,5,Have certificate,Basic,6.85,"Đường Số 3, Phường 9, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,50,4,8,Đông,Đông,2,3,2,Have certificate,Full,5.8,"Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,84,4,12,Nam,Nam,2,2,2,Have certificate,Full,9.5,"Đường Số 1A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,84,4,12,Bắc,Đông - Bắc,3,3,4,Have certificate,Full,9.3,"Đường Số 25A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,72,4,8,Tây,Tây,2,3,3,Have certificate,Full,6.8,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),53.8,4.5,8,Đông - Bắc,Đông - Bắc,4,3,3,Have certificate,Full,4.8,"Đường 12, Phường Trường Thạnh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,50,5,5,Đông - Nam,Đông - Nam,4,3,4,Have certificate,Full,9.6,"Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,46,3.5,5.5,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,4.6,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận 7,60,8,8,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,5,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,80,6,6,Tây - Nam,Tây - Nam,2,3,3,Have certificate,Basic,7.5,"Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận Phú Nhuận,29,3.5,5,Tây - Bắc,Tây - Bắc,4,3,4,Have certificate,Full,7.15,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,62,3,8,Bắc,Bắc,4,5,4,Have certificate,Basic,7,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận 8,43.1,2.99,4.5,Tây - Nam,Tây,2,3,3,Have certificate,Full,4.2,"Hẻm 2889A, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,60,5,5,Tây - Bắc,Tây - Bắc,4,9,9,Have certificate,Basic,7.3,"1180/, Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),88,4.3,4,Nam,Nam,3,4,4,Have certificate,Full,6.9,"Đường Số 4, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,25,3.5,4,Nam,Nam,4,3,4,Have certificate,Full,3.9,"Đường Lê Quang Định, Phường 5, Quận Bình Thạnh, Hồ Chí Minh"
