Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Nhà mặt tiền,Quận Bình Tân,64,4,5,6.7,,,,5,Have certificate,Basic,,"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,6,Tây,Tây
Nhà hẻm,Quận Bình Tân,60,4,4,6.5,,,,5,Have certificate,Full,,"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Bình Tân,75.6,5,4,7.5,,,,6,Have certificate,Full,,"Hẻm 36/, Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",5,10,Nam,Nam
Biệt thự,Quận 9 (TP. Thủ Đức),117.1,7,1,8.45,,,,7,Have certificate,Basic,,"Đường Trương Văn Thành, Phường Hiệp Phú, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",6,8,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,60,4,4,4.3,,,,4,Have certificate,Basic,,"Đường Quốc lộ 1A, Phường An Phú Đông, Quận 12, Hồ Chí Minh",4,6,Tây - Bắc,Tây
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),78,3,2,4,,,,2,Have certificate,Basic,,"Đường Kha Vạn Cân, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5.5,3.5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Tân,60,5,5,6.3,,,,6,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Đông,Đông
Nhà mặt tiền,Huyện Nhà Bè,68.8,4,4,7.8,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4.3,10,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,40.1,2,1,3.6,,,,1,Have certificate,Basic,,"Khu phố 2, Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Chung cư,Quận 3,30.71,2,2,4.2,,,,2,Have certificate,Full,,"62/12, Đường Nguyễn Thông, Phường 9, Quận 3, Hồ Chí Minh",4.03,20,Đông,Đông - Nam
Nhà hẻm,Huyện Nhà Bè,50,3,3,5.1,,,,4,Have certificate,Full,,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",5,10,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 7,96,4,2,9.35,,,,3,Have certificate,Basic,,"Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",5,6,Bắc,Bắc
Biệt thự,Quận Bình Tân,142,3,2,7.9,,,,2,Have certificate,Basic,,"Đường Cầu Kinh, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",5,10,Nam,Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,9.8,,,,4,Have certificate,Full,,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh.",5,10,Tây,Tây
Chung cư,Quận Gò Vấp,37.5,3,4,5.99,,,,3,Have certificate,Full,,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh",8.3,5,Tây,Tây
Nhà mặt tiền,Quận 7,98.7,7,2,5.2,,,,4,Have certificate,Basic,,"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",6,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,60,3,3,5.3,,,,3,Have certificate,Basic,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4.2,5,Tây,Tây
Nhà hẻm,Quận Gò Vấp,59,4,4,6.7,,,,4,Have certificate,Basic,,"Đường Huỳnh Văn Nghệ, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4.2,4,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Bình Tân,72,5,5,8.3,,,,6,Have certificate,Full,,"Hẻm 427, Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Chung cư,Quận Phú Nhuận,33.1,2,2,5.2,,,,1,Have certificate,Basic,,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh",3.1,4,Đông,Đông
Nhà hẻm,Quận Bình Tân,40,5,4,4.8,,,,6,Have certificate,Full,,"Đường Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",4,5,Nam,Nam
Chung cư,Quận Bình Thạnh,26,3,3,4.05,,,,3,Have certificate,Full,,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh",3.5,3.5,Tây - Nam,Tây - Nam
Nhà mặt tiền,Huyện Nhà Bè,80,3,3,7.39,,,,4,Have certificate,Full,,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Hồ Chí Minh",5.6,6,Đông - Bắc,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,80,4,4,7.45,,,,5,Have certificate,Full,,"Đường Lê Văn Thọ, Phường 8, Quận Gò Vấp, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Tân Phú,66,4,4,10,,,,4,Have certificate,Full,,"Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",6,6,Đông - Bắc,Đông - Nam
Nhà mặt tiền,Quận 12,88,4,3,7.6,,,,5,Have certificate,Full,,"Đường Tân Thới Nhất 12, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",8,8,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Tân Phú,65,4,1,6.2,,,,3,Have certificate,Basic,,"Hẻm 115 Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",4,6,Đông,Đông
Chung cư,Quận Bình Tân,25,2,2,2.4,,,,2,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",3,5,Bắc,Bắc
Nhà hẻm,Quận Gò Vấp,63,4,3,6.85,,,,5,Have certificate,Basic,,"Đường Số 3, Phường 9, Quận Gò Vấp, Hồ Chí Minh",4.2,4,Nam,Nam
Nhà hẻm,Quận Bình Tân,50,3,2,5.8,,,,2,Have certificate,Full,,"Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,8,Đông,Đông
Nhà mặt tiền,Quận Bình Tân,84,2,2,9.5,,,,2,Have certificate,Full,,"Đường Số 1A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4,12,Nam,Nam
Nhà mặt tiền,Quận Bình Tân,84,3,3,9.3,,,,4,Have certificate,Full,,"Đường Số 25A, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",4,12,Bắc,Đông - Bắc
Nhà mặt tiền,Quận 7,72,3,2,6.8,,,,3,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh",4,8,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),53.8,3,4,4.8,,,,3,Have certificate,Full,,"Đường 12, Phường Trường Thạnh, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.5,8,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Thạnh,50,3,4,9.6,,,,4,Have certificate,Full,,"Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Hồ Chí Minh",5,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Gò Vấp,46,2,2,4.6,,,,2,Have certificate,Full,,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",3.5,5.5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 7,60,4,4,5,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",8,8,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Gò Vấp,80,3,2,7.5,,,,3,Have certificate,Basic,,"Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh",6,6,Tây - Nam,Tây - Nam
Chung cư,Quận Phú Nhuận,29,3,4,7.15,,,,4,Have certificate,Full,,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh",3.5,5,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Bình Thạnh,62,5,4,7,,,,4,Have certificate,Basic,,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",3,8,Bắc,Bắc
Nhà hẻm,Quận 8,43.1,3,2,4.2,,,,3,Have certificate,Full,,"Hẻm 2889A, Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",2.99,4.5,Tây - Nam,Tây
Nhà hẻm,Quận Gò Vấp,60,9,4,7.3,,,,9,Have certificate,Basic,,"1180/, Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",5,5,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),88,4,3,6.9,,,,4,Have certificate,Full,,"Đường Số 4, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.3,4,Nam,Nam
Chung cư,Quận Bình Thạnh,25,3,4,3.9,,,,4,Have certificate,Full,,"Đường Lê Quang Định, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",3.5,4,Nam,Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),48,3,2,3.25,,,,2,Have certificate,Basic,,"Đường Ụ Ghe, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,2.5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Tân Phú,68,4,4,9.7,,,,4,Have certificate,Full,,"Hẻm 370 Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4,12,Đông,Đông
Nhà hẻm,Quận 7,60,3,3,5.47,,,,3,Have certificate,Full,,"1135, Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",4,3.5,Bắc,Bắc
Nhà hẻm,Quận Bình Tân,52,5,5,5.95,,,,4,Have certificate,Basic,,"Đường Lô Tư, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),100,3,3,7.7,,,,4,Have certificate,Full,,"Đường Số 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,5,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),42.4,1,1,4.9,,,,1,Have certificate,Full,,"Đường Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.8,6,Nam,Nam
Chung cư,Quận Phú Nhuận,18,3,3,3.3,,,,3,Have certificate,Full,,"Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh",6,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Bình Tân,94,4,3,8.7,,,,4,Have certificate,Full,,"Đường Bùi Hữu Diện, Phường An Lạc A, Quận Bình Tân, Hồ Chí Minh",4.5,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 12,64,4,4,6.6,,,,5,Have certificate,Basic,,"Dự án Song Minh Residence, Đường Thới An 22, Phường Thới An, Quận 12, Hồ Chí Minh",4,8,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Tân Bình,53,4,3,8.9,,,,3,Have certificate,Basic,,"Hẻm 83, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Chung cư,Quận 10,30,2,3,8.8,,,,2,Have certificate,Full,,"Đường Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh",3.5,20,Tây - Nam,Nam
Nhà hẻm,Quận Tân Bình,52,7,5,7.5,,,,6,Have certificate,Full,,"148/9, Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Hồ Chí Minh",4,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Thạnh,48,6,5,7.25,,,,4,Have certificate,Full,,"Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",4,16,Nam,Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,3,3,7.2,,,,3,Have certificate,Basic,,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Tân Phú,64,2,2,9,,,,3,Have certificate,Full,,"Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4,16,Tây,Tây
Chung cư,Quận Bình Tân,35,2,1,1.93,,,,2,Have certificate,Basic,,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,6,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),52,4,4,7.2,,,,3,Have certificate,Basic,,"Đường 7, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.5,8,Bắc,Bắc
