Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá
Nhà hẻm,Quận Phú Nhuận,132,5,5,10.29
Biệt thự,Quận 11,216,4,5,59.13
Nhà hẻm,Quận 11,122,4,3,6.67
Biệt thự,Huyện Củ Chi,173,5,1,1.18
Biệt thự,Huyện Nhà Bè,208,1,3,11.99
Chung cư,Quận 3,23,7,3,1.91
Chung cư,Quận 11,537,4,6,28.9
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),192,1,5,13.72
Nhà mặt tiền,Huyện Củ Chi,487,8,3,3.45
Nhà hẻm,Quận 10,187,5,6,20.56
Biệt thự,Quận Gò Vấp,172,6,4,31.91
Biệt thự,Huyện Bình Chánh,280,6,4,10.31
Biệt thự,Huyện Hóc Môn,123,4,3,4.51
Nhà mặt tiền,Quận 4,348,2,6,14.49
Chung cư,Huyện Cần Giờ,377,2,3,1.6
Nhà hẻm,Huyện Nhà Bè,125,3,5,2.89
Chung cư,Quận 9 (TP. Thủ Đức),174,2,6,3.17
Chung cư,Quận 9 (TP. Thủ Đức),200,5,5,4.19
Nhà mặt tiền,Quận Bình Tân,54,9,3,3.78
Biệt thự,Quận Tân Phú,44,7,6,9.63
Nhà hẻm,Quận Tân Phú,132,2,4,4.36
Nhà mặt tiền,Quận Phú Nhuận,499,7,5,92.04
Nhà hẻm,Huyện Bình Chánh,124,1,2,0.54
Nhà hẻm,Quận 1,324,6,6,66.15
Chung cư,Quận Tân Phú,236,4,6,8.18
Nhà hẻm,Quận 11,429,6,1,15.18
Biệt thự,Quận Phú Nhuận,326,1,2,48.86
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),403,1,1,16.53
Biệt thự,Quận Phú Nhuận,529,5,6,174.59
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),474,5,6,68.65
Chung cư,Quận 12,10,9,4,0.24
Biệt thự,Quận 6,233,6,6,51.86
Nhà hẻm,Quận 2 (TP. Thủ Đức),504,5,6,28.99
Biệt thự,Quận 12,211,8,5,25.61
Nhà mặt tiền,Huyện Củ Chi,490,2,4,2.6
Nhà hẻm,Quận Tân Bình,287,3,3,14.53
Nhà mặt tiền,Quận Tân Bình,119,2,4,11.98
Biệt thự,Quận Phú Nhuận,479,3,6,139.89
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),308,4,5,19.83
Nhà hẻm,Huyện Bình Chánh,330,8,6,3.53
Chung cư,Quận 2 (TP. Thủ Đức),70,7,3,2.89
Chung cư,Quận Tân Phú,473,4,5,16.34
Biệt thự,Huyện Củ Chi,191,1,3,1.54
Nhà mặt tiền,Quận 8,102,3,4,6.17
Nhà mặt tiền,Huyện Bình Chánh,191,1,5,2.18
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),343,3,2,28.29
Chung cư,Huyện Củ Chi,316,9,4,1
Chung cư,Quận Bình Tân,512,3,5,13.6
Chung cư,Quận 4,296,2,1,2.35
Biệt thự,Quận Phú Nhuận,98,5,1,15.33
Nhà hẻm,Quận 12,168,3,4,3.4
Biệt thự,Huyện Bình Chánh,392,8,5,17.15
Nhà hẻm,Huyện Hóc Môn,441,4,3,4.17
Nhà mặt tiền,Huyện Bình Chánh,127,7,2,1.94
Nhà hẻm,Quận Tân Phú,339,9,3,14.46
Biệt thự,Quận Bình Thạnh,520,1,2,62.05
Nhà mặt tiền,Quận Tân Bình,286,2,2,21.5
Biệt thự,Quận Bình Tân,195,6,5,28.75
Nhà mặt tiền,Quận 11,348,1,2,21.4
Nhà hẻm,Quận Tân Phú,259,9,2,9.38
Biệt thự,Quận Phú Nhuận,403,5,4,113.23
Biệt thự,Huyện Củ Chi,295,6,6,4.69
Nhà hẻm,Quận Tân Bình,201,5,2,10.01
Nhà hẻm,Huyện Cần Giờ,509,2,4,3.27
Nhà hẻm,Huyện Hóc Môn,190,7,6,2.64
Nhà mặt tiền,Quận 11,521,4,1,31.21
Nhà hẻm,Quận 12,58,6,3,1.39
Nhà mặt tiền,Quận Gò Vấp,108,5,6,11.59
Nhà mặt tiền,Quận Tân Phú,491,5,6,42.2
Nhà hẻm,Quận 6,144,7,2,5.42
Chung cư,Huyện Cần Giờ,25,1,1,0.05
Chung cư,Quận 11,323,6,6,18.03
Nhà mặt tiền,Quận 8,396,7,1,15.4
Chung cư,Quận 11,464,5,6,23.57
Nhà hẻm,Quận Phú Nhuận,64,7,1,2.9
Nhà hẻm,Quận 2 (TP. Thủ Đức),479,7,1,15.52
Chung cư,Quận Bình Tân,411,4,5,9.83
Chung cư,Quận 6,144,7,4,4.9
Biệt thự,Quận 3,339,2,3,106.55
Biệt thự,Quận 5,230,2,1,43.38
Chung cư,Quận 1,391,5,2,39.3
Chung cư,Huyện Nhà Bè,163,7,3,2.9
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),332,2,4,32.73
Nhà hẻm,Huyện Củ Chi,477,9,5,2.17
Nhà hẻm,Quận Gò Vấp,508,5,2,17.85
Biệt thự,Quận 9 (TP. Thủ Đức),295,2,2,17.67
Chung cư,Huyện Nhà Bè,207,8,2,3.47
Biệt thự,Huyện Cần Giờ,277,1,4,5.39
Biệt thự,Quận Phú Nhuận,21,7,1,3.82
Chung cư,Huyện Củ Chi,322,1,4,0.55
Chung cư,Quận 7,378,9,2,10.18
Nhà mặt tiền,Quận Gò Vấp,399,4,6,41.08
Chung cư,Quận Thủ Đức (TP. Thủ Đức),162,8,2,3.27
Chung cư,Quận 5,334,5,5,32.25
Nhà hẻm,Quận 9 (TP. Thủ Đức),219,6,1,2.7
Nhà hẻm,Quận 12,338,8,5,10.54
Chung cư,Quận 9 (TP. Thủ Đức),103,7,4,2.08
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),101,1,6,8.63
Chung cư,Quận Thủ Đức (TP. Thủ Đức),208,4,4,4.94
Nhà mặt tiền,Quận 4,320,4,3,12.47
Nhà hẻm,Quận 11,501,8,1,18.57
Nhà mặt tiền,Quận 1,16,8,3,5.42
Biệt thự,Huyện Hóc Môn,207,9,1,5.33
Nhà mặt tiền,Huyện Hóc Môn,524,8,2,10.92
Biệt thự,Quận Bình Thạnh,489,3,2,79.87
Nhà hẻm,Quận Bình Tân,517,4,1,9.06
Nhà hẻm,Quận 1,56,3,6,9.61
Chung cư,Quận 3,132,2,2,7.23
Nhà mặt tiền,Quận 1,173,3,5,58
Nhà hẻm,Huyện Cần Giờ,130,1,6,0.74
Nhà mặt tiền,Huyện Cần Giờ,245,3,3,2.92
Nhà mặt tiền,Quận 10,473,6,5,99.54
Nhà mặt tiền,Quận Phú Nhuận,224,5,1,17.39
Chung cư,Quận 10,287,6,5,25.07
Nhà mặt tiền,Quận Phú Nhuận,243,7,2,32.95
Nhà mặt tiền,Huyện Bình Chánh,533,3,3,7.01
Chung cư,Quận 7,458,5,5,13.95
Nhà hẻm,Quận Tân Phú,502,6,1,10.88
Nhà hẻm,Quận 8,89,3,4,2.82
Biệt thự,Huyện Cần Giờ,450,8,4,16.74
Nhà hẻm,Quận 2 (TP. Thủ Đức),233,5,2,9.2
Nhà hẻm,Huyện Bình Chánh,109,6,1,0.5
Nhà mặt tiền,Quận 6,540,3,6,49.27
Biệt thự,Quận 9 (TP. Thủ Đức),146,6,1,7.29
Chung cư,Quận Thủ Đức (TP. Thủ Đức),179,7,1,2.31
Chung cư,Huyện Củ Chi,179,7,2,0.38
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),181,8,2,18.82
Nhà hẻm,Quận 8,294,3,5,9.93
Chung cư,Quận 11,350,1,6,11.8
Chung cư,Huyện Củ Chi,219,2,4,0.46
Nhà mặt tiền,Quận Phú Nhuận,531,8,4,100.87
Chung cư,Quận Bình Thạnh,368,1,6,12.73
Nhà mặt tiền,Quận Tân Bình,174,7,3,21.68
Chung cư,Quận Bình Thạnh,449,3,4,18.19
Biệt thự,Quận 8,164,9,1,14.27
Nhà mặt tiền,Huyện Cần Giờ,85,3,2,0.89
Nhà hẻm,Quận Gò Vấp,104,6,2,3.32
Nhà hẻm,Quận Phú Nhuận,105,7,6,9.77
Chung cư,Quận 4,224,4,6,4.34
Chung cư,Quận 7,518,4,2,11.73
Biệt thự,Quận 9 (TP. Thủ Đức),492,2,4,35.6
Biệt thự,Quận Tân Phú,323,4,1,25.7
Nhà mặt tiền,Huyện Củ Chi,189,9,3,1.33
Chung cư,Quận Bình Tân,296,1,5,5.49
Biệt thự,Huyện Bình Chánh,477,6,1,8.91
Chung cư,Quận Thủ Đức (TP. Thủ Đức),224,6,3,5.31
Nhà mặt tiền,Quận Gò Vấp,538,2,2,30.35
Nhà hẻm,Quận 7,286,1,3,6.32
Chung cư,Quận Thủ Đức (TP. Thủ Đức),399,4,2,6.7
Nhà hẻm,Quận Bình Thạnh,173,8,3,10.56
Biệt thự,Quận 4,528,2,5,45.77
Nhà hẻm,Quận 4,219,8,3,5.37
Biệt thự,Quận 2 (TP. Thủ Đức),261,2,4,45.37
Nhà mặt tiền,Quận 8,66,9,3,5.15
Chung cư,Quận 1,278,8,2,29.11
Biệt thự,Huyện Nhà Bè,396,3,3,32.15
Chung cư,Huyện Cần Giờ,357,9,3,2.36
Chung cư,Huyện Bình Chánh,536,5,6,3.78
Nhà mặt tiền,Quận 4,402,7,1,11.23
Chung cư,Quận Bình Tân,298,7,5,8.99
Nhà mặt tiền,Quận 4,493,4,4,23.46
Nhà mặt tiền,Huyện Củ Chi,464,4,1,1.68
Biệt thự,Quận Phú Nhuận,518,9,4,183.18
Chung cư,Quận Thủ Đức (TP. Thủ Đức),101,9,5,2.83
Nhà hẻm,Quận 2 (TP. Thủ Đức),480,9,4,29.57
Biệt thự,Quận 8,386,2,6,51.65
Chung cư,Quận Bình Tân,106,2,4,2.17
Chung cư,Quận Phú Nhuận,516,7,5,36.63
Chung cư,Quận 10,374,4,2,19.14
Chung cư,Quận 10,200,9,4,17.23
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),284,5,3,8.26
Biệt thự,Quận Tân Phú,315,6,6,65.75
Chung cư,Huyện Bình Chánh,52,2,5,0.29
Nhà hẻm,Quận Bình Tân,539,9,6,25.42
Biệt thự,Quận Tân Bình,329,2,5,74.59
Biệt thự,Quận 12,532,5,1,26.14
Chung cư,Quận Tân Phú,77,8,4,2.88
Nhà hẻm,Quận Tân Bình,498,6,2,24.38
Nhà hẻm,Huyện Củ Chi,495,1,5,1.12
Nhà mặt tiền,Quận 11,161,4,5,21.4
Nhà hẻm,Quận Gò Vấp,503,7,4,23.98
Nhà mặt tiền,Quận 4,338,6,2,12.16
Nhà mặt tiền,Quận 12,317,6,3,15.21
Nhà hẻm,Quận Bình Thạnh,204,9,2,10.13
Nhà mặt tiền,Quận Phú Nhuận,220,3,4,28.82
Chung cư,Huyện Củ Chi,404,1,5,0.7
Biệt thự,Huyện Hóc Môn,487,6,1,12.21
Nhà mặt tiền,Quận 3,523,2,2,72.7
Nhà hẻm,Quận 5,305,8,4,38.15
Nhà hẻm,Quận 4,423,9,5,11.78
Nhà mặt tiền,Quận Gò Vấp,224,7,1,11.23
Nhà hẻm,Quận 10,155,9,1,9.88
Chung cư,Quận 6,142,6,4,4.63
Chung cư,Quận 8,536,6,3,15
Biệt thự,Quận 5,289,2,5,111.46
Biệt thự,Huyện Bình Chánh,264,9,4,10.71
Nhà hẻm,Quận 11,217,7,1,7.54
Nhà hẻm,Quận Tân Bình,295,8,6,24.3
Chung cư,Quận 1,385,8,2,46.04
Biệt thự,Quận Tân Phú,130,7,2,18.78
Chung cư,Huyện Bình Chánh,457,1,1,1.02
Nhà mặt tiền,Huyện Bình Chánh,230,5,2,2.94
Biệt thự,Quận 3,171,9,6,92.64
Biệt thự,Huyện Nhà Bè,219,1,4,13.46
Nhà hẻm,Huyện Bình Chánh,121,9,1,0.58
Nhà hẻm,Quận Bình Tân,133,1,4,2.78
Chung cư,Quận 10,425,7,5,36.79
Chung cư,Quận 1,192,5,5,26.33
Nhà mặt tiền,Huyện Hóc Môn,62,1,4,0.9
Nhà hẻm,Huyện Bình Chánh,77,4,4,0.69
Nhà mặt tiền,Quận Tân Bình,73,2,4,6.95
Nhà hẻm,Quận 3,382,7,5,45.78
Chung cư,Quận 12,56,6,6,1.36
Nhà hẻm,Quận 1,321,6,5,61.23
Nhà mặt tiền,Huyện Cần Giờ,137,1,6,1.55
Nhà hẻm,Quận 8,172,7,3,6.5
Biệt thự,Huyện Củ Chi,37,6,1,0.29
Nhà hẻm,Quận Tân Bình,22,4,6,1.55
Nhà mặt tiền,Quận 11,223,1,5,18.32
Nhà hẻm,Quận 5,395,4,3,37.47
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),130,6,6,16.48
Nhà hẻm,Quận 2 (TP. Thủ Đức),402,3,1,10.38
Chung cư,Quận 5,298,9,3,29.73
Chung cư,Quận 2 (TP. Thủ Đức),483,5,3,18.83
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),297,2,3,24.31
Nhà hẻm,Quận Tân Bình,425,4,5,26.16
Nhà mặt tiền,Huyện Cần Giờ,404,5,3,5.41
Chung cư,Huyện Củ Chi,210,7,6,0.74
Chung cư,Huyện Bình Chánh,264,1,1,0.59
Biệt thự,Quận 1,209,1,5,94.79
Chung cư,Quận 5,77,8,3,6.93
Nhà hẻm,Quận 12,175,7,1,2.56
Nhà mặt tiền,Quận Phú Nhuận,198,2,6,27.86
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),487,8,1,16.07
Biệt thự,Quận 8,398,9,6,76.33
Nhà hẻm,Quận 7,103,3,6,3.72
Biệt thự,Quận Phú Nhuận,298,4,5,94.04
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),178,5,6,11
Nhà hẻm,Huyện Hóc Môn,222,3,2,1.76
Nhà hẻm,Huyện Cần Giờ,185,5,5,1.44
Nhà mặt tiền,Quận 7,445,4,6,36.16
