Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá
Chung cư,Quận 8,116,8,1,2202204200
Chung cư,Gò Vấp,84,6,3,1931344767
Chung cư,Quận 5,64,6,1,977553051
Biệt thự,Bình Tân,188,6,1,4952341737
Nhà hẻm,Nhà Bè,188,3,2,3188823046
Chung cư,Quận 11,85,3,3,2308051269
Nhà mặt tiền,Phú Nhuận,181,6,3,8234295904
Nhà hẻm,Bình Chánh,221,8,2,5645805647
Nhà mặt tiền,Củ Chi,78,5,2,1211800026
Chung cư,Bình Thạnh,188,4,3,7522224940
Chung cư,Cần Giờ,193,5,1,2846049421
Biệt thự,Quận 1,210,3,1,5521791640
Nhà mặt tiền,Tân Bình,186,8,1,4393285879
Chung cư,Quận 6,76,6,2,1571086232
Chung cư,Bình Chánh,124,3,1,1365514848
Chung cư,Hóc Môn,249,3,1,3652751293
Chung cư,Quận 8,189,7,1,4465244416
Nhà hẻm,Quận 9,173,3,4,5792045302
Chung cư,Quận 2,181,6,4,7094754074
Chung cư,Thủ Đức,190,2,4,5784264302
Nhà hẻm,Quận 12,182,3,1,2862550967
Biệt thự,Tân Phú,70,5,4,1928354361
Nhà mặt tiền,Nhà Bè,248,4,4,7525212729
Nhà mặt tiền,Tân Phú,66,5,4,1517328853
Nhà mặt tiền,Quận 2,230,2,1,4113853333
Nhà hẻm,Quận 3,94,3,4,2755353324
Biệt thự,Quận 3,129,2,4,4895249222
Biệt thự,Phú Nhuận,217,5,2,9632992076
Nhà hẻm,Phú Nhuận,119,3,4,3530617475
Nhà hẻm,Bình Tân,104,3,1,1317246737
Chung cư,Quận 12,55,8,2,950439209
Chung cư,Quận 9,159,5,3,4811024984
Nhà mặt tiền,Củ Chi,108,6,4,2792605243
Nhà mặt tiền,Tân Phú,76,7,1,1093089231
Biệt thự,Cần Giờ,120,4,2,2333228485
Biệt thự,Tân Bình,99,7,3,3021491051
Nhà hẻm,Quận 1,222,5,3,9835914884
Chung cư,Quận 9,172,2,1,2564147842
Chung cư,Gò Vấp,174,5,2,4820812028
Nhà hẻm,Cần Giờ,153,4,1,2062438521
Nhà hẻm,Nhà Bè,200,5,4,6090144035
Biệt thự,Quận 6,75,2,4,1700884951
Biệt thự,Quận 10,147,7,3,7486936776
Biệt thự,Quận 1,185,8,1,6407964763
Nhà mặt tiền,Quận 7,228,5,3,8376452881
Nhà hẻm,Quận 6,176,4,4,6057451120
Nhà mặt tiền,Quận 3,134,7,3,5991929147
Nhà hẻm,Bình Chánh,100,4,2,1492998658
Chung cư,Quận 11,74,6,2,1893804390
Nhà mặt tiền,Quận 9,115,8,4,3929535791
Chung cư,Quận 9,88,3,4,2055140936
Nhà mặt tiền,Quận 7,173,8,2,5396137288
Nhà hẻm,Quận 7,211,6,4,8625352623
Nhà mặt tiền,Nhà Bè,82,5,2,1363464238
Nhà mặt tiền,Phú Nhuận,125,4,1,2733232329
Nhà hẻm,Quận 7,145,7,1,2725128229
Nhà mặt tiền,Cần Giờ,54,5,4,854792145
Chung cư,Gò Vấp,50,5,3,841826730
Nhà mặt tiền,Quận 5,154,2,1,2891963046
Nhà hẻm,Phú Nhuận,86,3,1,1193253208
Nhà mặt tiền,Quận 1,181,6,3,8308755822
Chung cư,Hóc Môn,205,5,1,3230728309
Biệt thự,Quận 1,77,4,4,2543956753
Nhà hẻm,Hóc Môn,139,8,4,4039867902
Nhà mặt tiền,Thủ Đức,185,6,1,4184718720
Chung cư,Phú Nhuận,108,7,4,4465680720
Nhà mặt tiền,Quận 1,245,5,3,12279311620
Chung cư,Củ Chi,77,6,4,1554879917
Biệt thự,Tân Bình,214,4,4,9652628994
Biệt thự,Quận 12,160,6,4,7180042120
Biệt thự,Phú Nhuận,172,4,3,7917710661
Biệt thự,Bình Chánh,246,6,3,8473873410
Biệt thự,Quận 10,216,2,1,4698835723
Biệt thự,Phú Nhuận,216,6,2,9817422080
Nhà hẻm,Tân Phú,82,7,1,1135256525
Nhà mặt tiền,Bình Chánh,80,2,2,1006833797
Nhà mặt tiền,Bình Chánh,56,3,4,809171805
Nhà mặt tiền,Quận 2,87,7,4,2535226574
Nhà hẻm,Quận 8,205,8,1,4458105037
Chung cư,Nhà Bè,80,3,4,1279285485
Chung cư,Quận 10,123,8,3,5197553407
