Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address,Giá dự đoán
3,17,64.0,4.0,6.0,Tây,Tây,5,4,5,Have certificate,Basic,6.7,"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",6.646593406593408
2,17,60.0,4.0,5.0,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,6.5,"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",6.494084249084249
3,17,75.6,5.0,10.0,Nam,Nam,4,5,6,Have certificate,Full,7.5,"Hẻm 36/, Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",7.774227934763654
0,16,117.1,6.0,8.0,Đông - Nam,Đông - Nam,1,7,7,Have certificate,Basic,8.45,"Đường Trương Văn Thành, Phường Hiệp Phú, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",9.585164835164841
2,8,60.0,4.0,6.0,Tây - Bắc,Tây,4,4,4,Have certificate,Basic,4.3,"Đường Quốc lộ 1A, Phường An Phú Đông, Quận 12, Hồ Chí Minh",5.040651491365781
3,23,78.0,5.5,3.5,Đông - Bắc,Đông - Bắc,2,3,2,Have certificate,Basic,4.0,"Đường Kha Vạn Cân, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.97065934065934
2,17,60.0,4.0,8.0,Đông,Đông,5,5,6,Have certificate,Full,6.3,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",6.5126936159078985
3,4,68.8,4.3,10.0,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.8,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",7.696703296703294
2,17,40.1,4.0,8.0,Tây,Tây,1,2,1,Have certificate,Basic,3.6,"Khu phố 2, Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",2.878131868131867
1,10,30.71,4.03,20.0,Đông,Đông - Nam,2,2,2,Have certificate,Full,4.2,"62/12, Đường Nguyễn Thông, Phường 9, Quận 3, Hồ Chí Minh",4.160915750915747
2,4,50.0,5.0,10.0,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,5.1,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",5.071428571428576
3,14,96.0,5.0,6.0,Bắc,Bắc,2,4,3,Have certificate,Basic,9.35,"Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",8.40329670329671
0,17,142.0,5.0,10.0,Nam,Nam,2,3,2,Have certificate,Basic,7.9,"Đường Cầu Kinh, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",10.182087912087903
3,16,75.0,5.0,10.0,Tây,Tây,3,4,4,Have certificate,Full,9.8,"Dự án River Park, Đường Võ Chí Công, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh.",8.708592059649755
1,19,37.5,8.3,5.0,Tây,Tây,4,3,3,Have certificate,Full,5.99,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh",5.904725274725276
3,14,98.7,6.0,3.0,Đông - Nam,Đông - Nam,2,7,4,Have certificate,Basic,5.2,"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",5.802637362637358
